timestamp,sequence,battery,flags,IMU_B-ch1,IMU_B-ch2,IMU_B-ch3,IMU_B-ch4,IMU_B-ch5,IMU_B-ch6,IMU_B-ch7,IMU_B-ch8,IMU_B-ch9
47841291206,30798,-2,0,9.1468261719,1.7657226563,-3.3185058594,0.7926829268,1.0365853659,0.7926829268,106.1978760425,-101.3979720406,-76.1984760305
47841317608,30799,-2,0,9.1468261719,1.7992187500,-3.3280761719,1.0060975610,1.1585365854,0.9146341463,106.1978760425,-101.3979720406,-76.1984760305
47841347577,30800,-2,0,9.0989746094,1.7274414063,-3.3352539063,0.3353658537,1.5243902439,0.6402439024,106.1978760425,-101.3979720406,-76.1984760305
47841377655,30801,-2,0,9.1875000000,1.7992187500,-3.3185058594,0.6097560976,1.3414634146,0.5487804878,107.3978520430,-100.1979960401,-82.1983560329
47841432432,30802,-2,0,9.1731445313,1.6245605469,-3.2921875000,0.0609756098,1.7073170732,0.5487804878,107.3978520430,-100.1979960401,-82.1983560329
47841449975,30803,-2,0,9.1516113281,1.9236328125,-3.3472167969,1.4329268293,2.4695121951,1.2195121951,107.3978520430,-100.1979960401,-82.1983560329
47841471242,30804,-2,0,9.2066406250,1.7920410156,-3.2754394531,-0.8841463415,2.1646341463,0.0609756098,107.3978520430,-100.1979960401,-82.1983560329
47841527336,30805,-2,0,9.1348632813,1.7083007813,-3.2251953125,-1.3109756098,2.5304878049,0.3963414634,105.5978880422,-99.5980080398,-77.9984400312
47841539973,30806,-2,0,9.0894042969,1.7848632813,-3.2371582031,-0.2134146341,2.2865853659,1.4024390244,105.5978880422,-99.5980080398,-77.9984400312
47841566232,30807,5,0,9.1372558594,1.6556640625,-3.2228027344,-0.0304878049,1.5853658537,1.2500000000,105.5978880422,-99.5980080398,-77.9984400312
47841603706,30808,5,0,9.1946777344,1.7872558594,-3.2634765625,1.3414634146,1.3109756098,1.3719512195,105.5978880422,-99.5980080398,-77.9984400312
47841631200,30809,5,0,9.1420410156,1.6795898438,-3.2682617188,0.9756097561,1.3109756098,0.8231707317,116.3976720466,-94.7981040379,-80.3983920322
47841662548,30810,5,0,9.1492187500,1.8422851563,-3.2826171875,1.8292682927,1.0365853659,1.0975609756,116.3976720466,-94.7981040379,-80.3983920322
47841693734,30811,5,0,9.1587890625,1.6628417969,-3.2371582031,0.6097560976,0.7012195122,0.6707317073,116.3976720466,-94.7981040379,-80.3983920322
47841720059,30812,5,0,9.1875000000,1.7513671875,-3.2802246094,1.3719512195,0.4878048780,1.2500000000,116.3976720466,-94.7981040379,-80.3983920322
47841753758,30813,5,0,9.1611816406,1.7561523438,-3.2682617188,0.8231707317,0.6402439024,1.3719512195,112.1977560449,-97.7980440391,-74.9985000300
47841789925,30814,5,0,9.1779296875,1.7346191406,-3.2682617188,0.2743902439,0.5792682927,0.9756097561,112.1977560449,-97.7980440391,-74.9985000300
47841821206,30815,5,0,9.1803222656,1.7298339844,-3.2586914063,-0.0304878049,0.3963414634,0.6402439024,112.1977560449,-97.7980440391,-74.9985000300
47841848697,30816,5,0,9.1468261719,1.7202636719,-3.2634765625,-0.2439024390,0.3963414634,0.6402439024,112.1977560449,-97.7980440391,-74.9985000300
47841879937,30817,5,0,9.1587890625,1.6939453125,-3.2275878906,-0.5792682927,0.2439024390,0.5792682927,107.9978400432,-100.7979840403,-77.9984400312
47841921268,30818,5,0,9.1803222656,1.7106933594,-3.2730468750,-0.3048780488,0.1219512195,0.5792682927,107.9978400432,-100.7979840403,-77.9984400312
47841961203,30819,5,0,9.1707519531,1.7250488281,-3.2850097656,-0.0304878049,0.3353658537,0.1829268293,107.9978400432,-100.7979840403,-77.9984400312
47841971232,30820,5,0,9.1683593750,1.6843750000,-3.2658691406,-0.2743902439,0.6097560976,0.0609756098,107.9978400432,-100.7979840403,-77.9984400312
47842006169,30821,5,0,9.2209960938,1.7394042969,-3.2562988281,0.1524390244,0.7621951220,0.0914634146,105.5978880422,-97.1980560389,-76.7984640307
47842059956,30822,5,0,9.1898925781,1.6867675781,-3.2419433594,0.1219512195,1.4024390244,0.5792682927,105.5978880422,-97.1980560389,-76.7984640307
